python main.py --dataset DD --epochs 100 --batch_size 4 
--eval_batch_size 4 --lambda_compute 0.01 --max_k 512

C:\project\Anaconda1\envs\gtsp_env\lib\site-packages\torch_geometric\data\in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
Model parameters: 200,974
Trainable parameters: 200,974
Epoch 060 | Loss 0.3891 (task 0.3890, comp 0.0143) | Val 0.6752 | Test 0.7143 | tau 1.11 | avg_token_ratio 0.616
Epoch 061 | Loss 0.3563 (task 0.3561, comp 0.0136) | Val 0.6752 | Test 0.6975 | tau 1.09 | avg_token_ratio 0.615
Epoch 062 | Loss 0.3253 (task 0.3251, comp 0.0139) | Val 0.6752 | Test 0.7227 | tau 1.08 | avg_token_ratio 0.617
Epoch 063 | Loss 0.3734 (task 0.3732, comp 0.0137) | Val 0.6923 | Test 0.7143 | tau 1.06 | avg_token_ratio 0.616
Epoch 064 | Loss 0.3889 (task 0.3888, comp 0.0151) | Val 0.6667 | Test 0.7311 | tau 1.05 | avg_token_ratio 0.616
Epoch 065 | Loss 0.3570 (task 0.3569, comp 0.0142) | Val 0.7094 | Test 0.7311 | tau 1.03 | avg_token_ratio 0.614
Epoch 066 | Loss 0.3259 (task 0.3258, comp 0.0145) | Val 0.7692 | Test 0.7143 | tau 1.02 | avg_token_ratio 0.615
Epoch 067 | Loss 0.3534 (task 0.3532, comp 0.0155) | Val 0.7094 | Test 0.6807 | tau 1.00 | avg_token_ratio 0.614
Epoch 068 | Loss 0.3293 (task 0.3292, comp 0.0152) | Val 0.7607 | Test 0.7059 | tau 0.98 | avg_token_ratio 0.608
Epoch 069 | Loss 0.3324 (task 0.3322, comp 0.0157) | Val 0.6752 | Test 0.7227 | tau 0.97 | avg_token_ratio 0.610
Epoch 070 | Loss 0.3382 (task 0.3380, comp 0.0155) | Val 0.7179 | Test 0.6891 | tau 0.95 | avg_token_ratio 0.609
Epoch 071 | Loss 0.3656 (task 0.3655, comp 0.0145) | Val 0.7094 | Test 0.7479 | tau 0.94 | avg_token_ratio 0.610
Epoch 072 | Loss 0.3770 (task 0.3768, comp 0.0155) | Val 0.7094 | Test 0.6891 | tau 0.92 | avg_token_ratio 0.622
Epoch 073 | Loss 0.3243 (task 0.3241, comp 0.0177) | Val 0.7094 | Test 0.6303 | tau 0.91 | avg_token_ratio 0.608
Epoch 074 | Loss 0.3507 (task 0.3505, comp 0.0164) | Val 0.7350 | Test 0.6639 | tau 0.89 | avg_token_ratio 0.609
Epoch 075 | Loss 0.3180 (task 0.3179, comp 0.0174) | Val 0.7265 | Test 0.6975 | tau 0.88 | avg_token_ratio 0.609
Epoch 076 | Loss 0.3524 (task 0.3522, comp 0.0180) | Val 0.6923 | Test 0.6975 | tau 0.86 | avg_token_ratio 0.608
Epoch 077 | Loss 0.3374 (task 0.3372, comp 0.0170) | Val 0.7179 | Test 0.7563 | tau 0.85 | avg_token_ratio 0.608
Epoch 078 | Loss 0.2817 (task 0.2815, comp 0.0170) | Val 0.7094 | Test 0.6723 | tau 0.83 | avg_token_ratio 0.609
Epoch 079 | Loss 0.3262 (task 0.3260, comp 0.0173) | Val 0.7607 | Test 0.7311 | tau 0.82 | avg_token_ratio 0.615
Epoch 080 | Loss 0.3191 (task 0.3189, comp 0.0183) | Val 0.7350 | Test 0.7143 | tau 0.80 | avg_token_ratio 0.608
Epoch 081 | Loss 0.2671 (task 0.2670, comp 0.0176) | Val 0.6752 | Test 0.7059 | tau 0.79 | avg_token_ratio 0.607
Epoch 082 | Loss 0.2844 (task 0.2842, comp 0.0183) | Val 0.6838 | Test 0.7395 | tau 0.77 | avg_token_ratio 0.608
Epoch 083 | Loss 0.2917 (task 0.2916, comp 0.0182) | Val 0.7350 | Test 0.7227 | tau 0.76 | avg_token_ratio 0.604
Epoch 084 | Loss 0.3106 (task 0.3104, comp 0.0178) | Val 0.7436 | Test 0.7059 | tau 0.74 | avg_token_ratio 0.606
Epoch 085 | Loss 0.2993 (task 0.2991, comp 0.0169) | Val 0.7094 | Test 0.6975 | tau 0.73 | avg_token_ratio 0.603
Epoch 086 | Loss 0.3273 (task 0.3271, comp 0.0176) | Val 0.7179 | Test 0.7059 | tau 0.71 | avg_token_ratio 0.603
Epoch 087 | Loss 0.2788 (task 0.2787, comp 0.0177) | Val 0.7436 | Test 0.7227 | tau 0.70 | avg_token_ratio 0.602
